Keywords,Word_appeared,tf_score,idf_score,tf_idf_together_score
need,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
true,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
trivial,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
semantics,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
width,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
calloc,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
automatic,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
strings,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
note,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
statements,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
integer,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
execute,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
portable,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
equivalent,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
test,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
version,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
elements,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
static,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
clone,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
executed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
buttons,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
set,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
stop,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
uses,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
threads,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
like,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
start,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
instantiate,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
import,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
used,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
machine,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
platform,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
write,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
predefined,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
using,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
passed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
consider,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
allocates,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
effect,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
initial,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
compile,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
access,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
expressions,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
length,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
way,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
tag,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
similar,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
document,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
false,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
initialize,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
compiler,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
list,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
execution,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
definitions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
graphics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
invoke,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
makes,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
part,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
simple,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
final,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
free,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
copy,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
www,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
blah,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
however,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
library,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
space,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
must,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
paint,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
place,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
drawn,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
look,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
therefore,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
view,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
else,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
pointernull,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
operators,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
getparameter,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
animations,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
line,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
quit,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
convert,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
either,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
automatically,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
case,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
classes,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
first,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
window,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
appletviewer,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
inthis,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
include,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
creates,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
arithmetic,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
collector,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
leave,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
ignore,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
default,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
link,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
double,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
easily,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
robust,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
bounds,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
bfoo,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
contrast,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
awt,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
section,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
output,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
assigned,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
defines,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
gui,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
limited,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
reside,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
destroy,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
function,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
every,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
item,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
height,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
structure,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
address,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
declaration,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
life,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
package,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
loop,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
argument,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
references,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
optional,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
allow,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
nothing,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
always,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
messages,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
text,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
label,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
dynamic,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
char,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
equals,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
within,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
extends,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
compilation,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
float,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
shows,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
programming,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
resources,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
html,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
codevoid,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
dispose,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
hard,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
push,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
typename,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
trivialapplication,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
allocated,3,0.00012112892154883515,-1.0986122886681098,-0.0001330737217266657
second,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
dereference,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
perform,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
arguments,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
lifecycle,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
comparison,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
done,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
hardware,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
invoked,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
environment,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
dynamically,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
delimited,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
placed,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
bar,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
tothe,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
standard,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
documentation,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
particular,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
subclass,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
etc,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
opening,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
break,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
ignored,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
come,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
concatenate,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
addition,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
prints,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
unicode,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
menu,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
points,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
instead,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
behavior,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
task,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
values,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
keyword,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
left,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
addresses,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
freed,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
hello,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
added,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
level,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
containing,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
secure,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
checking,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
expressionsitemexamples,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
interpreted,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
handling,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
calls,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
declarations,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
unit,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
valid,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
complete,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
unlike,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
constants,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
alt,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
codeint,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
components,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
instanceof,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
initialized,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
illustrate,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
written,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
handle,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
vector,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
orin,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
instantiated,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
ieee,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
variablename,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
labels,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
causes,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
world,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
continue,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
trivialapplet,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
employee,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
features,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
suspend,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
syntax,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
simply,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
versions,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
buttonsbutton,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
longer,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
specific,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
constructor,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
mml,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
web,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
declare,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
index,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
host,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
display,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
contains,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
available,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
sockets,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
bad,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
instantiates,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
wide,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
thesame,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
yet,2,8.07526143658901e-05,-0.6931471805599453,-5.597344697056126e-05
thatknow,1,4.037630718294505e-05,0.0,0.0
systemresources,1,4.037630718294505e-05,0.0,0.0
arraya,1,4.037630718294505e-05,0.0,0.0
buttonobject,1,4.037630718294505e-05,0.0,0.0
priority,1,4.037630718294505e-05,0.0,0.0
interpreter,1,4.037630718294505e-05,0.0,0.0
corner,1,4.037630718294505e-05,0.0,0.0
becausethey,1,4.037630718294505e-05,0.0,0.0
img,1,4.037630718294505e-05,0.0,0.0
number,1,4.037630718294505e-05,0.0,0.0
errors,1,4.037630718294505e-05,0.0,0.0
programmingthe,1,4.037630718294505e-05,0.0,0.0
places,1,4.037630718294505e-05,0.0,0.0
native,1,4.037630718294505e-05,0.0,0.0
provided,1,4.037630718294505e-05,0.0,0.0
messagesfrom,1,4.037630718294505e-05,0.0,0.0
buttonsa,1,4.037630718294505e-05,0.0,0.0
netscapenavigator,1,4.037630718294505e-05,0.0,0.0
symbol,1,4.037630718294505e-05,0.0,0.0
toconvert,1,4.037630718294505e-05,0.0,0.0
elementsjava,1,4.037630718294505e-05,0.0,0.0
issue,1,4.037630718294505e-05,0.0,0.0
inaccessible,1,4.037630718294505e-05,0.0,0.0
including,1,4.037630718294505e-05,0.0,0.0
precedence,1,4.037630718294505e-05,0.0,0.0
bindjava,1,4.037630718294505e-05,0.0,0.0
linked,1,4.037630718294505e-05,0.0,0.0
executionan,1,4.037630718294505e-05,0.0,0.0
needsto,1,4.037630718294505e-05,0.0,0.0
atruntime,1,4.037630718294505e-05,0.0,0.0
harm,1,4.037630718294505e-05,0.0,0.0
takes,1,4.037630718294505e-05,0.0,0.0
highest,1,4.037630718294505e-05,0.0,0.0
structs,1,4.037630718294505e-05,0.0,0.0
exceptionsjava,1,4.037630718294505e-05,0.0,0.0
unnecessarily,1,4.037630718294505e-05,0.0,0.0
think,1,4.037630718294505e-05,0.0,0.0
typesint,1,4.037630718294505e-05,0.0,0.0
